module,H,p_raw,eps2,p_bonferroni,p_BH
Stringent response (ppGpp),4.105263157894733,0.12839657289294906,0.14035087719298217,1.0,0.5215444725099222
Glutathione metabolism,3.66081871345029,0.16034791484105135,0.11072124756335265,1.0,0.5215444725099222
Two-component systems,3.6140350877192944,0.1641429566674696,0.1076023391812863,1.0,0.5215444725099222
Peptidoglycan remodeling,3.5906432748537966,0.166074028132597,0.1060428849902531,1.0,0.5215444725099222
Catalase/Peroxidase,3.134502923976605,0.20861778900396885,0.075633528265107,1.0,0.5215444725099222
Recombination repair,3.134502923976605,0.20861778900396885,0.075633528265107,1.0,0.5215444725099222
Nitric oxide stress,2.5380116959064267,0.28111094993429625,0.035867446393761784,1.0,0.6023806070020633
Sigma factors (RpoS/RpoH),1.6257309941520504,0.4435851513728234,-0.024951267056529978,1.0,0.7269573561546296
OxyR oxidative DNA repair,1.3099415204678238,0.5194572511735089,-0.046003898635478414,1.0,0.7269573561546296
Nucleotide excision repair (NER),1.298245614035082,0.5225039125602906,-0.04678362573099453,1.0,0.7269573561546296
Replication fidelity,1.204678362573091,0.5475293665002461,-0.05302144249512727,1.0,0.7269573561546296
LPS remodeling,1.0643274853801117,0.5873327568448445,-0.062378167641325886,1.0,0.7269573561546296
Electron carrier balance,0.9239766081871252,0.6300297086673456,-0.07173489278752498,1.0,0.7269573561546296
Thioredoxin/Peroxidase,0.4327485380116869,0.8054337965486431,-0.10448343079922087,1.0,0.8629647820164034
SOS response,0.22222222222221433,0.8948393168143733,-0.11851851851851905,1.0,0.8948393168143733
