,Catalase/Peroxidase,Electron carrier balance,Glutathione metabolism,LPS remodeling,Nitric oxide stress,Nucleotide excision repair (NER),OxyR oxidative DNA repair,Peptidoglycan remodeling,Recombination repair,Replication fidelity,SOS response,Sigma factors (RpoS/RpoH),Stringent response (ppGpp),Thioredoxin/Peroxidase,Two-component systems
Catalase/Peroxidase,1.0,-0.027863777089783277,0.4055727554179567,0.29411764705882354,0.12899896800825592,-0.2528379772961816,-0.08152734778121776,0.5500515995872033,0.04231166150670795,0.5665634674922602,-0.16202270381836945,0.19711042311661509,0.1929824561403509,-0.36429308565531476,0.2280701754385965
Electron carrier balance,-0.027863777089783277,1.0,0.44685242518059853,0.3931888544891641,0.5170278637770898,0.32714138286893707,-0.027863777089783277,-0.06501547987616099,0.632610939112487,0.17234262125902994,0.10835913312693499,-0.4901960784313726,0.40350877192982454,0.4901960784313726,0.7977296181630547
Glutathione metabolism,0.4055727554179567,0.44685242518059853,1.0,0.5748194014447885,0.9318885448916409,-0.3003095975232198,0.05675954592363261,0.43653250773993807,0.6862745098039216,0.7791537667698658,-0.4984520123839009,-0.6429308565531475,0.29411764705882354,0.5706914344685242,0.7027863777089782
LPS remodeling,0.29411764705882354,0.3931888544891641,0.5748194014447885,1.0,0.49638802889576883,-0.33952528379772956,-0.06707946336429307,0.29205366357069146,0.45510835913312697,0.4262125902992776,-0.4406604747162023,-0.41589267285861714,0.15376676986584106,0.3684210526315789,0.5521155830753354
Nitric oxide stress,0.12899896800825592,0.5170278637770898,0.9318885448916409,0.49638802889576883,1.0,-0.1929824561403509,0.15170278637770898,0.24458204334365324,0.6697626418988648,0.6780185758513931,-0.3415892672858617,-0.739938080495356,0.2672858617131063,0.6904024767801857,0.7192982456140351
Nucleotide excision repair (NER),-0.2528379772961816,0.32714138286893707,-0.3003095975232198,-0.33952528379772956,-0.1929824561403509,1.0,0.16821465428276572,-0.5954592363261093,-0.04437564499484004,-0.39938080495356043,0.6202270381836945,-0.025799793601651185,0.6016511867905057,0.11248710010319916,0.07533539731682146
OxyR oxidative DNA repair,-0.08152734778121776,-0.027863777089783277,0.05675954592363261,-0.06707946336429307,0.15170278637770898,0.16821465428276572,1.0,0.25902992776057787,0.27966976264189886,0.20949432404540763,0.3663570691434469,0.2239422084623323,0.2260061919504644,0.3106295149638803,0.15583075335397317
Peptidoglycan remodeling,0.5500515995872033,-0.06501547987616099,0.43653250773993807,0.29205366357069146,0.24458204334365324,-0.5954592363261093,0.25902992776057787,1.0,0.4489164086687306,0.5954592363261093,-0.2693498452012384,0.17027863777089783,-0.025799793601651185,0.05675954592363261,0.33952528379772956
Recombination repair,0.04231166150670795,0.632610939112487,0.6862745098039216,0.45510835913312697,0.6697626418988648,-0.04437564499484004,0.27966976264189886,0.4489164086687306,1.0,0.3333333333333333,-0.1929824561403509,-0.4447884416924664,0.43653250773993807,0.7770897832817338,0.7894736842105263
Replication fidelity,0.5665634674922602,0.17234262125902994,0.7791537667698658,0.4262125902992776,0.6780185758513931,-0.39938080495356043,0.20949432404540763,0.5954592363261093,0.3333333333333333,1.0,-0.3931888544891641,-0.21568627450980388,0.08359133126934985,0.15376676986584106,0.4117647058823529
SOS response,-0.16202270381836945,0.10835913312693499,-0.4984520123839009,-0.4406604747162023,-0.3415892672858617,0.6202270381836945,0.3663570691434469,-0.2693498452012384,-0.1929824561403509,-0.3931888544891641,1.0,0.33952528379772956,0.283797729618163,-0.11661506707946334,-0.03611971104231166
Sigma factors (RpoS/RpoH),0.19711042311661509,-0.4901960784313726,-0.6429308565531475,-0.41589267285861714,-0.739938080495356,-0.025799793601651185,0.2239422084623323,0.17027863777089783,-0.4447884416924664,-0.21568627450980388,0.33952528379772956,1.0,-0.23632610939112486,-0.7151702786377709,-0.5356037151702786
Stringent response (ppGpp),0.1929824561403509,0.40350877192982454,0.29411764705882354,0.15376676986584106,0.2672858617131063,0.6016511867905057,0.2260061919504644,-0.025799793601651185,0.43653250773993807,0.08359133126934985,0.283797729618163,-0.23632610939112486,1.0,0.41589267285861714,0.543859649122807
Thioredoxin/Peroxidase,-0.36429308565531476,0.4901960784313726,0.5706914344685242,0.3684210526315789,0.6904024767801857,0.11248710010319916,0.3106295149638803,0.05675954592363261,0.7770897832817338,0.15376676986584106,-0.11661506707946334,-0.7151702786377709,0.41589267285861714,1.0,0.6016511867905057
Two-component systems,0.2280701754385965,0.7977296181630547,0.7027863777089782,0.5521155830753354,0.7192982456140351,0.07533539731682146,0.15583075335397317,0.33952528379772956,0.7894736842105263,0.4117647058823529,-0.03611971104231166,-0.5356037151702786,0.543859649122807,0.6016511867905057,1.0
