,Catalase/Peroxidase,Electron carrier balance,Glutathione metabolism,LPS remodeling,Nitric oxide stress,Nucleotide excision repair (NER),OxyR oxidative DNA repair,Peptidoglycan remodeling,Recombination repair,Replication fidelity,SOS response,Sigma factors (RpoS/RpoH),Stringent response (ppGpp),Thioredoxin/Peroxidase,Two-component systems
MCW1,108.765408,93.51423855652175,105.19959865384612,130.11360069230767,81.1188161904762,156.26367440000004,118.88381832142856,155.07172109615377,136.18802768999996,295.58552154545487,173.10700599999993,152.96229060000013,22.013363421686748,285.84192499999995,64.25185292857145
MCW2,143.70107033333326,103.65635800869568,200.16912507692317,154.0759841538461,168.61985790476194,201.26559984000008,123.14812992857144,192.76614701923077,136.65463097999998,365.3804861818181,156.43434024999993,152.6913996000001,25.23175877108434,264.36210890909064,91.98048151724137
MHW1,101.01981699999999,90.64734186086957,101.04938753846153,125.364625923077,76.83028476190478,151.82649999999998,106.7305405,154.26594765384618,118.76457156000006,271.275965,157.13855175,167.3216422,25.62350459036145,240.99332163636353,68.2124073719212
MHW2,84.63572133333334,89.6162910869565,89.04858115384614,129.57536053846147,78.36553914285717,156.8905315199999,102.44076671428572,146.95747257692304,113.29589064000001,273.1735818181817,142.88557649999998,178.82315959999985,23.41009438554217,256.12650863636367,59.346078748768484
MSLW1,96.99257533333338,88.49990818260872,94.44485003846155,125.80976100000005,73.31443414285711,151.18883504000016,111.53555014285716,145.58327175000002,124.78486970000007,284.2714479090911,158.5653952500001,144.58264479999997,21.201662277108436,263.19928872727274,61.75378682266013
MSLW2,109.72608133333337,98.43470833043482,110.78351792307693,136.76003476923077,87.73197342857144,157.00940752000025,119.91693150000003,148.82104503846156,132.92710001,288.00771409090913,156.82212625,147.80430540000015,21.817713975903622,252.21543727272729,74.57616974384237
PCW1,142.45481999999996,90.15588515652173,198.33037107692314,155.35363892307694,138.32697742857138,180.05303811999983,117.59093910714286,179.1103802307692,132.06677753999998,325.6263570000005,160.90079575,153.35949719999996,28.14795944578314,262.1118923636362,91.18266826847291
PCW2,107.10945166666666,86.54884356521738,109.7444733846154,116.65717807692303,126.7935123333333,141.4452306399999,123.69813899999998,153.8818956153846,118.06848013000001,335.96815681818174,111.67982850000001,182.9656928,28.796639903614455,213.67610236363637,76.13724920443347
PHW1,114.65595200000006,81.37767256521738,142.2787610769231,151.06678738461537,129.7336841428572,172.38785276,124.93612514285712,169.58671826923074,129.07933452,328.83778881818193,133.97432049999998,145.3743414,24.285136638554217,277.25896818181815,84.19815284975368
PHW2,105.37471600000002,96.6603026347826,121.23984161538459,131.36871707692305,101.1767262857143,171.67424703999998,116.4169625714286,156.56814515384616,130.79787699,327.38144936363665,151.71175649999992,157.85519060000007,24.119909204819283,263.4031624545455,72.79054037684729
PSLW1,124.64699866666672,99.19997676521737,103.5105861153846,130.20568330769234,74.98486738095237,167.4258424,115.87291150000001,167.7660669615385,130.65361388999997,290.2554600909089,142.35007549999995,182.6013958000001,23.928183084337345,244.831689909091,66.57559866995072
PSLW2,169.4908496666666,67.75095172173914,176.17976773076919,160.8766981538462,150.6860728571429,198.9045462799999,132.36199664285715,191.74000346153846,117.63456365999998,368.8101796363637,121.17972900000007,104.01719420000002,25.220232361445788,254.07618418181855,74.18220466256157
SCW1,124.82756566666653,95.09688960000001,123.08705957692311,132.73705461538464,94.53203580952379,163.3335636799999,108.91213657142862,156.6086656923077,122.71266180999999,304.6870286363638,158.05633449999993,166.86184980000013,26.766139939759036,258.3892359090906,73.77468823891626
SCW2,135.41199233333333,84.51533087826085,108.23062857692311,105.85798069230766,89.64974466666668,155.29622192000005,113.1550197857143,182.56517190384614,129.44985029,300.6723460909089,143.7122655,153.605193,23.853751337349394,268.76961927272737,52.79686070197045
SHW1,107.99520166666666,89.15974752173912,134.42877400000003,137.3319508461539,114.88385071428571,162.20679012000016,112.67830242857144,156.4689410576924,126.33955075000006,317.5418688181818,141.925306,147.54609480000002,24.281893963855428,272.2849906363636,77.61372622906404
SHW2,146.4532156666667,74.40813150434782,176.4994618076923,159.52484638461527,140.2043907142857,173.53995988000005,129.0766085,177.64071159615392,128.70182551999997,364.0312538181818,133.30191049999996,125.8285726000001,26.657574036144574,259.9964588181819,88.26662423891624
SSLW1,113.04972166666666,95.14978174782607,99.35110723076922,142.7668755384615,78.7969378095238,154.13739963999996,113.93286189285712,148.20460776923076,130.80197969,285.79174790909065,159.90990524999998,147.9679859999999,22.413579638554218,264.3696871818183,69.49992557635467
SSLW2,67.81605033333337,91.2947046521739,67.73805076923078,103.67086769230767,62.498229952380946,146.12134300000002,94.62234346428575,188.5043715576924,104.01420480000003,268.20169309090926,148.58826749999997,184.76523579999997,22.204361277108436,265.8439345454546,40.7725633546798
