,Catalase/Peroxidase,Electron carrier balance,Glutathione metabolism,LPS remodeling,Nitric oxide stress,Nucleotide excision repair (NER),OxyR oxidative DNA repair,Peptidoglycan remodeling,Recombination repair,Replication fidelity,SOS response,Sigma factors (RpoS/RpoH),Stringent response (ppGpp),Thioredoxin/Peroxidase,Two-component systems
MCW1,4.550176068038192,149.42363874042178,38.034382856071275,22.831353062064746,35.01843996672507,28.530389264641578,41.98843561638426,96.37434348420368,151.0621275560835,21.27801062956884,5.61896512460385,8.554118777379216,36.93304978723489,14.34917769648014,493.73222408784056
MCW2,4.630214442172474,165.0059766100297,43.7743663510987,23.516735846570505,40.62597594069376,27.615971502916327,41.77580887283934,96.81809843504581,153.5374634776221,23.105878288319754,5.091516408089133,8.29390262037819,38.07879356935925,14.39343378997136,536.6616332306853
MHW1,5.132757840109812,153.1232694480914,37.768620816306765,23.015045935059092,33.44984009782687,29.0556248060446,40.923064950585115,96.3512856838085,149.82567755976103,21.39601559448081,5.8113133447128185,8.760705276418783,46.04088459507185,13.366695540527296,516.8992881728393
MHW2,4.6325274301161,149.23945457157393,34.86099205036047,22.86569462284648,33.30937350098263,29.12286256130071,39.41839684418066,92.36710579301472,142.51897546484096,20.67309531289568,5.481742482809998,8.791980535025385,39.20015590286943,12.785998038403605,485.9539898843889
MSLW1,4.400436102421309,147.44049188349916,37.137454907310754,22.658211790393377,33.98662127694018,29.110087022733385,42.34359173780793,94.63483196624311,148.1641715509089,21.10060823013243,5.548245810348906,8.462098520303769,38.154147555143076,14.333725467168668,490.10427374996766
MSLW2,4.518297030659259,156.68200463091048,39.19578215965953,22.674407893616426,36.106564611351196,30.165460669354115,43.55404453687717,95.4758157681675,154.97059667848654,21.846312197365542,5.465123544303237,8.779215044548886,42.11386095748245,14.463377440424066,517.3518342307402
PCW1,5.131430867038598,156.09981863472188,44.28501010405871,23.629034453687677,39.94868262819258,27.94471273618204,40.902919431279784,97.59241310006604,156.23252028497217,22.450359092314372,5.0675752205041436,8.118791405240353,39.554953544879396,14.848184475656632,539.595590177396
PCW2,5.769710928564856,147.0177905585482,39.742931867721744,22.261883716115058,37.35829259429292,28.650301489768907,43.64743321776378,98.81435153211352,148.49484363337405,24.115945104043035,5.769545778534466,10.637520412442225,40.263401748010565,12.818294632438645,504.1245991023204
PHW1,5.060020156063975,155.0203840403611,42.167330117515625,24.893315133287064,39.09458925360136,28.329264139916145,41.3168193403387,99.70856728281544,153.26504656193154,23.17183965828681,5.050636556655011,8.439786472572397,39.36777079940994,13.867260830452368,537.031757977722
PHW2,4.783909163023796,156.09398887393021,39.532202833068,22.93123632333803,37.47785889381578,29.00118204826533,41.617389975235135,95.19739181189098,150.8923929630595,21.827124454648196,5.613647548603513,8.364361145443702,38.329120577794804,13.462631392375721,518.5887261966034
PSLW1,5.702862565468454,151.22879585465327,38.66580905237555,23.781348095705795,33.53392738247212,27.787630992197908,41.872421404471794,99.09118334339423,149.46983892983843,22.898725110305737,5.070340706457815,9.94856684177057,35.40086353736466,12.66231253773582,505.42898777287485
PSLW2,4.986577278600318,149.4545382291008,42.547373540461265,23.50626821050274,39.28476829579848,28.425793275315854,40.2057749990312,93.66434031545239,144.6174779275991,23.665926370955543,4.82457012684306,7.835185470904968,38.12444756422359,13.505605944885113,488.7663046177846
SCW1,5.408360459187783,157.25766914110795,40.82712082238246,23.11413241865381,36.561943940118006,29.303187342995862,41.6239130164423,95.378151274019,152.67821441839862,21.740808961925755,5.237770377812117,8.640334396749736,41.35627202299342,13.490671242672777,528.7358448262999
SCW2,5.315347058943305,142.48152760202538,39.53299191477962,23.009159705795035,34.16529713781633,26.724504028858483,41.13467807100556,103.47102478755177,151.37770847165143,22.776807434825113,4.919690368612148,9.89657140972857,35.038961054310455,13.303566143305819,472.26136996811397
SHW1,4.649858859776148,158.46674047065258,41.40161301472386,23.395950102191616,38.377303950413896,29.025714375277868,40.469624815829434,96.10518736584629,153.38375950119436,21.95315242052933,5.146760279353556,8.143836204086998,40.96136702194627,14.700095483614403,529.70703366914
SHW2,5.000990156334577,149.12634064343732,43.821206467196305,24.964227887951985,39.828445578332854,27.834671199502797,42.511086220386495,98.27071051830775,153.7928102641854,22.794153214761778,4.85217163808262,8.248093543696665,45.33157873707863,14.97539074223909,528.6129577318358
SSLW1,4.614907597928867,151.8750726092903,37.35525452047212,23.74870886471112,34.808231057225086,28.91077076114825,41.936837860993165,93.95126144653811,150.7911959781688,21.223539388962728,5.68001697123573,8.906187537540418,38.467169651659475,14.219124871278671,503.2136204343302
SSLW2,4.615653669825678,134.1119411868218,30.126236684097393,22.420561869211667,26.872805162483175,26.74620404244792,35.35217476579534,95.44615666066574,125.01051352134414,19.62887595831892,4.9463006593972025,9.020479873118125,27.88115562741197,11.46866645575546,384.1684494875652
