,0
K00406,328
K12531,319
K18351,319
K15862,318
K00626,317
K11526,317
K03941,315
K04561,314
K00356,312
K08305,312
K00799,312
K15864,310
K08082,310
K02305,310
K00681,309
K08083,309
K07649,308
K00404,308
K02659,308
K07710,307
K06596,307
K14159,306
K11711,306
K03688,306
K02448,305
K00329,305
K07712,304
K00992,304
K04090,304
K15012,303
K00031,303
K00533,302
K01596,302
K01919,302
K18072,302
K17060,301
K01669,301
K07645,301
K00411,301
K10914,300
K00405,300
K13490,300
K02487,298
K12264,298
K22341,298
K00163,298
K07673,298
K07638,297
K01595,297
K00822,297
K18353,297
K00797,297
K06597,296
K16165,296
K22292,296
K00027,295
K02339,295
K02164,295
K02641,294
K07639,294
K00412,294
K07810,293
K03943,293
K00366,292
K00410,292
K03600,291
K01011,291
K02558,290
K00370,289
K00176,289
K02337,288
K02191,287
K07653,286
K00187,285
K00457,285
K12256,285
K05710,284
K00413,284
K00407,283
K18094,283
K11356,283
K15011,283
K06876,282
K11693,282
K00368,282
K00090,282
K01256,282
K00627,280
K03617,280
K14980,280
K07787,279
K05874,277
K03599,277
K08738,277
K18354,276
K03690,276
K01816,276
K00990,276
K07232,276
K03880,275
K11694,273
K11695,273
K11624,272
K22338,271
K04748,271
K02563,271
K08306,271
K21567,271
K02040,269
K00186,269
K06993,267
K01581,267
K02661,265
K05966,264
K03723,263
K03093,263
K03110,263
K22339,262
K13041,261
K00348,261
K03782,261
K00161,261
K00177,260
K07691,260
K01920,260
K02188,260
K07789,260
K03701,259
K05895,259
K13771,259
K07644,258
K09760,258
K18586,258
K00392,257
K02259,257
K19343,256
K01141,254
K10004,254
K07704,253
K14987,253
K10001,253
K01034,252
K11103,252
K18444,251
K00367,250
K03940,249
K03407,249
K02229,248
K13061,248
K03879,248
K10916,248
K00595,246
K22340,245
K02660,245
K00568,244
K13816,244
K00830,244
K00371,243
K07798,243
K03091,243
K14581,241
K01646,240
K01910,240
K04771,239
K01255,239
K00363,238
K19303,238
K02192,238
K01035,235
K07637,235
K03385,235
K00075,234
K01643,233
K08304,233
K18248,232
K02403,232
K01151,232
K11720,231
K08308,231
K07642,231
K10851,231
K03936,231
K12252,229
K11637,229
K11615,229
K05934,229
K00284,229
K13815,227
K05838,227
K02667,227
K02658,226
K01801,226
K10003,225
K02402,224
K07788,223
K11688,222
K15383,222
K13927,220
K00347,219
K01610,218
K04755,217
K21471,217
K16871,216
K00230,216
K18348,215
K20552,215
K03934,214
K18322,213
K07652,213
K21711,212
K15876,211
K10125,210
K19084,209
K13588,209
K18587,208
K04070,206
K00180,206
K10857,205
K14578,205
K02106,204
K08992,204
K15861,204
K11712,204
K03935,204
K17061,203
K00179,202
K06598,201
K10002,201
K12972,200
K07648,199
K18608,199
K00350,198
K01142,197
K01924,197
K00349,196
K03806,196
K07795,193
K14989,191
K00351,191
K03885,190
K09774,190
K03702,189
K07394,188
K00174,188
K19617,187
K06187,186
K03612,186
K18856,186
K03776,186
K07713,184
K19804,183
K01356,182
K18377,182
K11636,181
K11602,180
K10126,179
K02313,179
K00529,179
K10808,178
K03106,177
K13587,177
K01160,176
K10906,176
K07707,174
K03615,173
K09773,173
K09001,173
K00383,172
K03738,171
K00528,169
K04069,169
K07457,169
K00527,169
K07669,169
K01006,168
K02650,167
K05879,167
K20974,167
K00362,167
K19668,167
K01467,166
K02302,165
K00426,165
K14188,164
K00162,164
K07708,164
K00050,163
K13589,162
K02572,162
K00158,162
K03581,162
K00373,162
K00033,162
K15753,161
K02489,160
K01619,160
K01007,158
K05597,158
K07709,158
K13039,158
K01841,157
K07720,156
K00384,156
K19618,155
K11719,153
K19641,153
K05875,151
K08477,151
K10848,151
K07714,151
K03882,149
K08348,148
K07706,148
K12296,147
K00425,147
K19921,146
K03569,146
K03183,145
K11525,144
K05362,143
K09690,143
K03839,142
K02668,142
K07106,142
K01270,141
K19616,141
K06375,141
K11692,141
K03551,141
K07803,141
K00188,140
K06034,140
K03181,140
K01928,140
K14986,140
K00189,139
K07674,139
K06861,138
K07715,138
K20370,138
K01567,138
K03614,137
K07643,136
K07716,136
K13694,135
K06078,135
K07684,135
K00170,134
K03741,134
K06792,134
K01929,134
K21231,134
K18986,133
K11625,132
K07694,132
K07685,131
K07666,131
K04017,130
K00374,128
K19621,128
K07641,128
K11354,127
K08928,127
K12055,126
K18253,126
K03613,126
K19622,124
K03881,123
K13598,123
K07806,123
K03554,122
K03883,121
K07783,120
K15739,120
K08309,119
K18350,119
